id,model_name,product_family,product_category,"Engine Power @ 1,600 rpm - ISO 14396:2002","Engine Power - 2,100 rpm ISO 14396:2002",Rated Speed,"Engine Power - 1,700 rpm ISO 14396:2002",Rated Gross Power - SAE J1995,Gross Power - SAE J1995:2014,Peak Power Speed,Operating Weight,Engine Model,Net Power - SAE J1349:2011,Operating Weight - Standard,Bucket Capacities,Net Power,Maximum Gross Power,Engine Power - ISO 14396:2002,"Engine Power - 1,600 rpm ISO 14396:2002",Operating Weight*,Peak Power Speed - Gross - SAE J1995,Bucket Capacity Range,Bucket Range,Net Power - ISO 9249,Operating Weight - Tier 4 Final*
140,938M Waste Handler,Wheel Loaders,Small Wheel Loaders,,,,,,,,41794 lb,,,,3.0-5 m3     (3.9-6.5 yd3),,188 hp,,,,,,,,
141,950,Wheel Loaders,Medium Wheel Loaders,,253 hp (metric),,,,,,42461 lb,,,,,,,,,,,,,,
142,950 GC,Wheel Loaders,Medium Wheel Loaders,,,,,,,,41554 lb,,,,2.9-4.4 m³ (3.75-5.75 yd³),,,,,,,,,225 hp,
143,962,Wheel Loaders,Medium Wheel Loaders,,273 hp (metric),,,,,,44469 lb,,,,,,,,,,,,,,
144,966,Wheel Loaders,Medium Wheel Loaders,,,,,,,,51124 lb,,,,,,,,325 hp (metric),,,,,,
145,966 GC,Wheel Loaders,Medium Wheel Loaders,321 hp,,,,,,,,,,,3.2 - 7.1 m³ (4.25 - 9.25 yd³),,,,,48018 lb,,,,,
146,966 XE,Wheel Loaders,Medium Wheel Loaders,,,,,,,,51124 lb,,,,,,,,325 hp (metric),,,,,,
147,972,Wheel Loaders,Medium Wheel Loaders,,,,,,,,54858 lb,,,,,,,,344 hp (metric),,,,,,
148,980 XE,Wheel Loaders,Medium Wheel Loaders,,,,426 hp (metric),,,,66877 lb,,,,,,,,,,,,,,
149,972 XE,Wheel Loaders,Medium Wheel Loaders,,,,,,,,54858 lb,,,,,,,,344 hp (metric),,,,,,
150,980,Wheel Loaders,Medium Wheel Loaders,,,,426 hp (metric),,,,66877 lb,,,,,,,,,,,,,,
151,982,Wheel Loaders,Medium Wheel Loaders,,,,438 hp (metric),,,,78264 lb,,,,,,,,,,,,,,
152,982 XE,Wheel Loaders,Medium Wheel Loaders,,,,438 hp (metric),,,,78264 lb,,,,,,,,,,,,,,
153,986,Wheel Loaders,Large Wheel Loaders,,,,,,,1600,,C15 Cat®,,,,,,,,,456 hp,,,,
154,988,Wheel Loaders,Large Wheel Loaders,,,,,,588 hp,,,,538 hp,,,,,580 hp,,,,,,,
155,988 XE,Wheel Loaders,Large Wheel Loaders,,,,,,,,116362 lb,Cat® C18 ™,538 hp,,,,,,,,,,,,
156,988 GC,Wheel Loaders,Large Wheel Loaders,,,2000,,,,1600,,Cat® C15,,,,,,,,,,,,,
157,990,Wheel Loaders,Large Wheel Loaders,,,,,,,,,,,178517 lb,,,,786 hp,,,,8.6 m³ – 10.0 m³ (11.25 yd³ – 13.0 yd³),,,
158,992,Wheel Loaders,Large Wheel Loaders,,,,,,,,233430 lb,,,,11.5-24.5 m³ (15-32 yd³),814 hp,,,,,,,,,
159,993,Wheel Loaders,Large Wheel Loaders,,,,,,,,,Cat C32B,,,,,,,,,,,12.2-23.7 m3 (16.0-31 yd3),,294687 lb
160,995,Wheel Loaders,Large Wheel Loaders,,,,,,,,,Cat® 3516E,,543772 lb,,,,,,,,17.2-43.6 m3 (22.3-57 yd3),,,
161,903,Wheel Loaders,Compact Wheel Loaders,,,,,,,,9200 lb,,,,0.6-1 m3    (0.8-1.3 yd3),,48 hp,,,,,,,,
162,903D,Wheel Loaders,Compact Wheel Loaders,,,,,,,,9414 lb,,,,0.6-1 m3    (0.8-1.3 yd3),,42 hp,,,,,,,,
163,906,Wheel Loaders,Compact Wheel Loaders,,,,,,,,12628 lb,,,,0.75-1.55 m³ (1.0-2 yd³),,74.7 hp,,,,,,,,
164,907,Wheel Loaders,Compact Wheel Loaders,,,,,,,,12765 lb,,,,0.75-1.55 m³ (1.0-2 yd³),,74.7 hp,,,,,,,,
165,908,Wheel Loaders,Compact Wheel Loaders,,,,,,,,14617 lb,,,,0.75-1.55 m³ (1.0-2 yd³),,74.7 hp,,,,,,,,
166,910,Wheel Loaders,Compact Wheel Loaders,,,,,,,,18102 lb,,,,1.3-3.5 m3 (1.7-4.6 yd3),,110 hp,,,,,,,,
167,914,Wheel Loaders,Compact Wheel Loaders,,,,,,,,19103 lb,,,,1.3-3.5 m3 (1.7-4.6 yd3),,110 hp,,,,,,,,
168,920,Wheel Loaders,Compact Wheel Loaders,,,,,,,,21742 lb,,,,1.3-3.5 m3 (1.7-4.6 yd3),,121 hp,,,,,,,,
169,926,Wheel Loaders,Small Wheel Loaders,,,,,170 hp,,,27972 lb,,,,1.9-5 m3 (2.5-6.5 yd3),,,,,,,,,,
170,930,Wheel Loaders,Small Wheel Loaders,,,,,170 hp,,,31124 lb,,,,1.9-5 m3 (2.5-6.5 yd3),,,,,,,,,,
171,938,Wheel Loaders,Small Wheel Loaders,,,,,191 hp,,,35528 lb,,,,1.9-5 m3 (2.5-6.5 yd3),,,,,,,,,,
172,926M,Wheel Loaders,Small Wheel Loaders,,,,,,,,28193 lb,,,,1.9-5 m3     (2.5-6.5 yd3),,168 hp,,,,,,,,
173,926M Aggregate Handler,Wheel Loaders,Small Wheel Loaders,,,,,,,,28577 lb,,,,2.5-5 m3    (3.3-6.5 yd3),,168 hp,,,,,,,,
174,930M,Wheel Loaders,Small Wheel Loaders,,,,,,,,31382 lb,,,,2.1-5 m3    (2.7-6.5 yd3),,168 hp,,,,,,,,
175,930M Ag Handler,Wheel Loaders,Small Wheel Loaders,,,,,,,,31382 lb,,,,2.1-5 m³ (2.7-6.5 yd³),,168 hp,,,,,,,,
176,930M Aggregate Handler,Wheel Loaders,Small Wheel Loaders,,,,,,,,31848 lb,,,,2.5-5 m3     (3.3-6.5 yd3),,168 hp,,,,,,,,
