id,model_name,product_family,product_category,Maximum Weight at Stick Nose,Maximum Pin Height at Stick Nose,Maximum Digging Depth,Net Power,Maximum Travel Speed,Operating Weight Maximum,Forward/Reverse - 2nd Gear,Operating Weight,Dig Depth,Engine Power - ISO 14396:2002,Net Power - ISO 9249
229,315 GC,Excavators,Small Excavators,,,19.7 ft,,,,,34000 lb,,,98 hp
230,315,Excavators,Small Excavators,,,19.7 ft,,,,,34000 lb,,,108 hp
231,317 GC,Excavators,Small Excavators,,,21 ft,,,,,38000 lb,,,119 hp
232,317,Excavators,Small Excavators,,,21 ft,,,,,40200 lb,,,133 hp
233,320 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22 ft,,,,,49800 lb,,,172 hp
234,320 GC - Tier 4 / Stage V,Excavators,Medium Excavators,,,22 ft,,,,,48500 lb,,,146 hp
235,323 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22.1 ft,,,,,55100 lb,,,172 hp
236,325 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22 ft,,,,,62800 lb,,,172 hp
237,326 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22.4 ft,,,,,56400 lb,,,201 hp
238,330 - Tier 4 / Stage V,Excavators,Medium Excavators,,,23.9 ft,,,,,69200 lb,,,273 hp
239,330 GC - Tier 4 / Stage V,Excavators,Medium Excavators,,,23.8 ft,,,,,68100 lb,,,201 hp
240,335 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22.9 ft,,,,,77000 lb,,,273 hp
241,336 -Tier 4 / Stage V,Excavators,Large Excavators,,,26.11 ft,,,,,81100 lb,,,300 hp
242,340 - Tier 4 / Stage V,Excavators,Large Excavators,,,26.9 ft,,,,,83100 lb,,,346 hp
243,350 - Tier 4 / Stage V,Excavators,Large Excavators,,,26.11 ft,,,,,105100 lb,,,413 hp
244,352 - Tier 4 / Stage V,Excavators,Large Excavators,,,26.11 ft,,,,,107800 lb,,,443 hp
245,374 - Tier 4 / Stage V,Excavators,Large Excavators,,,28.1 ft,,,,,162900 lb,,,484 hp
246,395 - Tier 4 / Stage V,Excavators,Large Excavators,,,31.9 ft,,,,,207400 lb,,,542 hp
247,330 UHD Hydraulic Excavator,Excavators,Demolition Excavators,7300 lb,66.8 ft,,,,,,101400 lb,,,
248,340 Straight Boom,Excavators,Demolition Excavators,9170 lb,39.4 ft,,,,,,87800 lb,,,
249,340 UHD,Excavators,Demolition Excavators,8160 lb,72.2 ft,,,,,,122600 lb,,,
250,352 Straight Boom,Excavators,Demolition Excavators,12456 lb,42.2 ft,,,,,,121000 lb,,,
251,352 UHD,Excavators,Demolition Excavators,8157 lb,90.8 ft,,,,,,142200 lb,,,
252,340 Long Reach,Excavators,Long Reach Excavation,,,42.8 ft,,,,,96500 lb,,,346 hp
253,352 Long Reach,Excavators,Long Reach Excavation,,,42.8 ft,,,,,128100 lb,,,443 hp
254,M314,Excavators,Wheel Excavators,,,,,23 mile/h,39683 lb,,,,134 hp,
255,M315,Excavators,Wheel Excavators,,,,,21.7 mile/h,39680 lb,,,,148 hp,
256,M316,Excavators,Wheel Excavators,,,,,21.7 mile/h,36400 lb,,,,148 hp,
257,M318,Excavators,Wheel Excavators,,,,,21.7 mile/h,43980 lb,,,,174 hp,
258,M319,Excavators,Wheel Excavators,,,,,21.7 mile/h,46407 lb,,,,174 hp,
259,M320,Excavators,Wheel Excavators,,,,,21.7 mile/h,46740 lb,,,,174 hp,
260,M322,Excavators,Wheel Excavators,,,,,,52911 lb,18.6 mile/h,,,174 hp,
