id,equipment_name,model,spec_name,spec_value
234,Single drum rollers  & soil compactors  XS113(tire II),XS113(tire II),"Axle load, rear(kg)",4900
235,Single drum rollers  & soil compactors  CV83U,CV83U,Operating weight(kg),8000
236,Single drum rollers  & soil compactors  CV83U,CV83U,"Axle load, front(kg)",3800
237,Single drum rollers  & soil compactors  CV83U,CV83U,"Axle load, rear(kg)",4200
238,Single drum rollers  & soil compactors  XS103H,XS103H,Operating weight(kg),10600
239,Single drum rollers  & soil compactors  XS103H,XS103H,"Axle load, front(kg)",5900
240,Single drum rollers  & soil compactors  XS103H,XS103H,"Axle load, rear(kg)",4700
241,Single drum rollers  & soil compactors  XS123H,XS123H,Operating weight(kg),12000
242,Single drum rollers  & soil compactors  XS123H,XS123H,"Axle load, front(kg)",6400
243,Single drum rollers  & soil compactors  XS123H,XS123H,"Axle load, rear(kg)",5600
244,Single drum rollers  & soil compactors  XS143H,XS143H,Operating weight(kg),14000
245,Single drum rollers  & soil compactors  XS143H,XS143H,"Axle load, front(kg)",7300
246,Single drum rollers  & soil compactors  XS143H,XS143H,"Axle load, rear(kg)",6700
247,Single drum rollers  & soil compactors  XS223J,XS223J,Operating weight(kg),22000
248,Single drum rollers  & soil compactors  XS223J,XS223J,"Axle load, front(kg)",11000
249,Single drum rollers  & soil compactors  XS223J,XS223J,"Axle load, rear(kg)",11000
250,Single drum rollers  & soil compactors  XS223JE(Tier III),XS223JE(Tier III),Operating weight(kg),22000
251,Single drum rollers  & soil compactors  XS223JE(Tier III),XS223JE(Tier III),"Axle load, front(kg)",11000
252,Single drum rollers  & soil compactors  XS223JE(Tier III),XS223JE(Tier III),"Axle load, rear(kg)",11000
253,Single drum rollers  & soil compactors  XS223JE(Tier II),XS223JE(Tier II),Operating weight(kg),22000
254,Single drum rollers  & soil compactors  XS223JE(Tier II),XS223JE(Tier II),"Axle load, front(kg)",11000
255,Single drum rollers  & soil compactors  XS223JE(Tier II),XS223JE(Tier II),"Axle load, rear(kg)",11000
256,Single drum rollers  & soil compactors  XS203J(Tier III),XS203J(Tier III),Operating weight(kg),20000
257,Single drum rollers  & soil compactors  XS203J(Tier III),XS203J(Tier III),"Axle load, front(kg)",10000
258,Single drum rollers  & soil compactors  XS203J(Tier III),XS203J(Tier III),"Axle load, rear(kg)",10000
259,Single drum rollers  & soil compactors  XS203J(Tier II),XS203J(Tier II),Operating weight(kg),20000
260,Single drum rollers  & soil compactors  XS203J(Tier II),XS203J(Tier II),"Axle load, front(kg)",10000
261,Single drum rollers  & soil compactors  XS203J(Tier II),XS203J(Tier II),"Axle load, rear(kg)",10000
262,Single drum rollers  & soil compactors  XS183J,XS183J,Operating weight(kg),18000
263,Single drum rollers  & soil compactors  XS183J,XS183J,"Axle load, front(kg)",9000
264,Single drum rollers  & soil compactors  XS183J,XS183J,"Axle load, rear(kg)",9000
265,Single drum rollers  & soil compactors  XS163J,XS163J,Operating weight(kg),16000
266,Single drum rollers  & soil compactors  XS163J,XS163J,"Axle load, front(kg)",8000
